second,packet_drop_rate,byte_drop_rate,avg_timeDelta,std_timeDelta,skw_timeDelta,kur_timeDelta,vmaf,exp_id,video,problem,value
1.0,0.0,0.0273,0.0025,0.0097,3.7808,12.5771,7.3848958260869555,3875,scarlet,delay,400
2.0,-0.0036,0.0274,0.0036,0.0117,3.0072,7.2252,20.969440958333337,3875,scarlet,delay,400
3.0,0.0,0.0274,0.0037,0.0117,2.9716,7.0094,7.109007416666667,3875,scarlet,delay,400
4.0,0.6431,0.6641,0.0063,0.015,2.012,2.1673,22.871179374999997,3875,scarlet,delay,400
5.0,0.0389,0.0646,0.005,0.0287,13.1438,197.2306,26.766489869565213,3875,scarlet,delay,400
6.0,0.0211,0.0496,0.0036,0.0114,3.0395,7.4385,28.036103583333333,3875,scarlet,delay,400
7.0,-0.0325,-0.0012,0.0035,0.0113,3.1052,7.8856,15.129103208333333,3875,scarlet,delay,400
8.0,0.0103,0.0377,0.0035,0.0113,3.1038,7.8623,28.042391999999996,3875,scarlet,delay,400
9.0,-0.0073,0.0161,0.0036,0.0115,3.0394,7.4729,8.676031999999998,3875,scarlet,delay,400
10.0,-0.059,-0.0326,0.0033,0.0108,3.2067,8.4751,6.818811375,3875,scarlet,delay,400
11.0,-0.0581,-0.0252,0.0039,0.0119,2.8761,6.4882,6.509835708333334,3875,scarlet,delay,400
12.0,0.0805,0.1073,0.0042,0.0123,2.7525,5.7675,6.6415129166666675,3875,scarlet,delay,400
13.0,0.0039,0.0302,0.0039,0.0119,2.8777,6.4842,5.189005826086956,3875,scarlet,delay,400
14.0,0.0251,0.0601,0.0037,0.0116,3.0008,7.2359,12.128260500000001,3875,scarlet,delay,400
15.0,-0.0177,-0.002,0.0044,0.0126,2.6939,5.4532,59.93354716666666,3875,scarlet,delay,400
16.0,-0.1888,-0.1584,0.0043,0.0123,2.6995,5.443,28.01080945833333,3875,scarlet,delay,400
17.0,0.0095,0.0398,0.0032,0.0108,3.2805,9.0291,5.168737695652174,3875,scarlet,delay,400
18.0,0.0167,0.0371,0.0042,0.0124,2.7108,5.527,9.72075925,3875,scarlet,delay,400
19.0,0.0282,0.0559,0.0036,0.0115,3.0134,7.2951,9.24900225,3875,scarlet,delay,400
20.0,0.0,0.0265,0.0035,0.0113,3.0706,7.6398,8.887619166666667,3875,scarlet,delay,400
21.0,0.0392,0.0703,0.0034,0.0111,3.1354,8.0399,9.965591304347829,3875,scarlet,delay,400
22.0,0.0546,0.0914,0.0044,0.0127,2.6389,5.14,7.45543875,3875,scarlet,delay,400
23.0,-0.0312,-0.0091,0.0038,0.0116,2.922,6.6801,15.943722791666666,3875,scarlet,delay,400
24.0,-5.4,-6.0114,0.0039,0.0117,2.8964,6.6915,40.50653775,3875,scarlet,delay,400
1.0,0.0,0.0273,0.0025,0.0096,3.7772,12.6166,99.87753576190478,4417,scarlet,good,0
2.0,0.0,0.0275,0.0036,0.0117,3.0073,7.2387,100.0,4417,scarlet,good,0
3.0,0.0,0.0274,0.0037,0.0118,2.9716,7.0097,100.0,4417,scarlet,good,0
4.0,0.0,0.0274,0.0033,0.0112,3.1253,7.924,100.0,4417,scarlet,good,0
5.0,0.0,0.0275,0.0035,0.0116,3.041,7.4299,100.0,4417,scarlet,good,0
6.0,0.0,0.0275,0.0035,0.0115,3.0597,7.5558,100.0,4417,scarlet,good,0
7.0,0.0,0.0274,0.0036,0.0117,2.9996,7.1796,100.0,4417,scarlet,good,0
8.0,0.0,0.0275,0.0035,0.0114,3.091,7.7441,92.94969659090908,4417,scarlet,good,0
9.0,0.0,0.0276,0.0036,0.0117,2.9838,7.0789,81.63304461904761,4417,scarlet,good,0
10.0,0.0,0.0275,0.0035,0.0115,3.0739,7.6273,100.0,4417,scarlet,good,0
11.0,0.0,0.0272,0.0041,0.0123,2.721,5.5336,100.0,4417,scarlet,good,0
12.0,0.023,0.0694,0.0039,0.0121,2.8412,6.2477,100.0,4417,scarlet,good,0
13.0,0.0039,0.0311,0.0039,0.0121,2.8484,6.2859,99.91600752380953,4417,scarlet,good,0
14.0,0.0,0.0272,0.0036,0.0116,3.0186,7.3047,97.97501231818183,4417,scarlet,good,0
15.0,0.0,0.0273,0.0044,0.0128,2.6201,5.0301,98.09195186363637,4417,scarlet,good,0
16.0,0.0,0.0271,0.005,0.0134,2.4274,4.0643,98.706783,4417,scarlet,good,0
17.0,0.0,0.0273,0.0032,0.0109,3.2455,8.6993,100.0,4417,scarlet,good,0
18.0,0.0,0.0273,0.0042,0.0125,2.726,5.5928,100.0,4417,scarlet,good,0
19.0,0.0,0.0276,0.0035,0.0115,3.0511,7.5008,100.0,4417,scarlet,good,0
20.0,0.0141,0.0418,0.0036,0.0117,3.0205,7.3056,100.0,4417,scarlet,good,0
21.0,0.0,0.0272,0.0034,0.0112,3.1135,7.8408,100.0,4417,scarlet,good,0
22.0,0.0,0.0272,0.0041,0.0124,2.7772,5.8857,100.0,4417,scarlet,good,0
23.0,0.0,0.0271,0.0039,0.0121,2.8489,6.2902,99.43994772727272,4417,scarlet,good,0
24.0,0.0286,0.0486,0.0184,0.0211,0.2899,-1.9644,99.04429377272727,4417,scarlet,good,0
1.0,0.0,0.0273,0.0025,0.0095,3.7925,12.753,99.87753576190478,4044,scarlet,drop,0.35
2.0,-0.0036,0.0274,0.0036,0.0116,3.0082,7.2349,100.0,4044,scarlet,drop,0.35
3.0,0.0,0.0274,0.0037,0.0118,2.9725,7.0182,43.8524215,4044,scarlet,drop,0.35
4.0,0.0101,0.0376,0.0034,0.0112,3.1539,8.1862,41.07497586363637,4044,scarlet,drop,0.35
5.0,0.0071,0.0346,0.0036,0.0114,3.0613,7.6053,27.839577238095238,4044,scarlet,drop,0.35
6.0,0.0105,0.0382,0.0035,0.0113,3.0752,7.6968,31.36070031818182,4044,scarlet,drop,0.35
7.0,0.0,0.0274,0.0036,0.0115,3.0306,7.4006,42.8794945909091,4044,scarlet,drop,0.35
8.0,0.0034,0.031,0.0035,0.0112,3.1186,7.9522,19.783633499999997,4044,scarlet,drop,0.35
9.0,0.0073,0.035,0.0037,0.0115,3.0048,7.261,14.571434809523813,4044,scarlet,drop,0.35
10.0,0.0069,0.0378,0.0035,0.0113,3.1045,7.8875,22.061372545454546,4044,scarlet,drop,0.35
11.0,0.0083,0.0357,0.0042,0.0123,2.7454,5.73,12.886468,4044,scarlet,drop,0.35
12.0,0.0153,0.043,0.0039,0.0119,2.8835,6.5166,10.46802590909091,4044,scarlet,drop,0.35
13.0,0.0039,0.0312,0.0039,0.0119,2.8817,6.5166,18.459088095238094,4044,scarlet,drop,0.35
14.0,0.0072,0.0336,0.0036,0.0121,3.6511,14.3204,33.10665722727273,4044,scarlet,drop,0.35
15.0,0.0088,0.0363,0.0045,0.0127,2.6393,5.1524,63.86774136363636,4044,scarlet,drop,0.35
16.0,0.0102,0.0377,0.0052,0.0135,2.3727,3.7977,41.35420577272727,4044,scarlet,drop,0.35
17.0,0.0095,0.0368,0.0032,0.0108,3.2573,8.8366,10.417361190476191,4044,scarlet,drop,0.35
18.0,0.0042,0.0316,0.0042,0.0123,2.742,5.7194,7.828971818181817,4044,scarlet,drop,0.35
19.0,0.0106,0.0383,0.0036,0.0113,3.0601,7.6057,6.7398001818181825,4044,scarlet,drop,0.35
20.0,0.0035,0.0311,0.0035,0.0113,3.0618,7.5883,7.16303740909091,4044,scarlet,drop,0.35
21.0,0.0065,0.0338,0.0033,0.0109,3.2322,8.7102,9.691996714285713,4044,scarlet,drop,0.35
22.0,0.0,0.0271,0.0042,0.0123,2.7489,5.7592,6.973922681818181,4044,scarlet,drop,0.35
23.0,0.0,0.0271,0.0039,0.0119,2.8934,6.5922,40.63557695454546,4044,scarlet,drop,0.35
24.0,0.1143,0.1189,0.0188,0.0211,0.2504,-1.9932,70.37102931818183,4044,scarlet,drop,0.35
1.0,0.0,0.0273,0.0025,0.0096,3.7671,12.509,99.87753576190478,4662,scarlet,good,0
2.0,0.0,0.0276,0.0036,0.0117,2.9991,7.1737,100.0,4662,scarlet,good,0
3.0,0.0,0.0274,0.0037,0.0118,2.9707,7.0026,100.0,4662,scarlet,good,0
4.0,0.0,0.0274,0.0034,0.0113,3.1367,8.0265,100.0,4662,scarlet,good,0
5.0,-0.0035,0.0273,0.0035,0.0116,3.0478,7.4716,100.0,4662,scarlet,good,0
6.0,0.0,0.0275,0.0035,0.0115,3.0549,7.5153,100.0,4662,scarlet,good,0
7.0,0.0036,0.0281,0.0037,0.0117,2.9216,6.6787,100.0,4662,scarlet,good,0
8.0,-0.0035,0.0268,0.0033,0.0113,3.1646,8.2165,100.0,4662,scarlet,good,0
9.0,0.0,0.0276,0.0036,0.0117,2.9857,7.0952,100.0,4662,scarlet,good,0
10.0,0.0,0.0275,0.0035,0.0115,3.0763,7.6499,100.0,4662,scarlet,good,0
